Name|Type|SPICE model|Triode Connection
84|twin D|84|
8417|B|8417|8417T
845|T|845|
878|D|878|
879|D|879|
8A8|||
9002|T|9002|
955|T|9002|
9A8|||
AD1|T|AD1|
CV1052|P|EL32|EL32T
CV1053|P|EF39|EF39T
CV2135|P|6BR7|6BR7T
DA30|T|DA30|
E180CC|twin T|E180CC|
E182CC|twin T|E182CC|
E83F|P|E83F|E83FT
EC86|T|EC86|
EC94|T|6AF4|
ECC33|twin T|ECC33|
ECC35|twin T|ECC35|
ECC802S|twin T|12AU7|
ECC81|twin T|12AT7|
ECC813|twin T|ECC86|
ECC82|twin T|12AU7|
ECC83|twin T|12AX7|
ECC84|twin T|ECC84|
ECC85|twin T|6AQ8|
ECC86|twin T|ECC86|
ECC88|twin T|ECC88|
ECF82 Pentode Section|P|6U8P|6U8PT
ECF82 Triode Section|T|6U8T|
ECL82 Pentode Section|P|6BM8P|6BM8PT
ECL82 Triode Section|T|6BM8T|
ECL85 Pentode Section|P|ECL85P|ECL85PT
ECL85 Triode Section|T|ECL85T|
ECL86 Pentode Section|P|6GW8P|6GW8PT
ECL86 Triode Section|T|12AX7|
EF184|P|6EJ7|6EJ7T
EF39|P|EF39|EF39T
EF86|P|6267|6267T
EF94|P|6AU6|6AU6T
EL12|P|EL12|EL12T
EL156|P|EL156|EL156T
EL2|P|EL32|EL32T
EL32|P|EL32|EL32T
EL34|P|EL34|EL34T
EL500|B|6GB5|6GB5T
EL509|B|6LF6|6LF6T
EL84|P|6BQ5|6BQ5T
EL95|P|EL95|EL95T
EZ81|twin D|6CA4|
GZ34|twin D|5AR4|
KT33C|B|KT33C|KT33CT
KT66|B|KT66|KT66T
KT88|B|KT88|KT88T
L63|T|6SN7|
MH4|T|MH4|
MH40|T|MH40|
MH41|T|MH41|
MHL4|T|MHL4|
ML4|T|ML4|
PCF80||6BL8P|
Pen45|P|Pen45|Pen45T
Pen45DD|P||
PX25|T|PX25|
PX25A|T|PX25A|
PX4|T|PX4|
RE604|T|RE604|
WE104D|T|WE104D|
WE262B|T|WE262B|
WE310A|P|WE310A|WE310AT
WE350B|B|350B|350BT
WE396A|twin T|WE396A|
WE421A|twin T|WE421A|
